numRequests,tamanhoResposta,totalImageSize,RequestsJS,RequestsHTML,RequestsCSS,avgNumRequests,avgTamanhoResposta,avgTotalImageSize,avgRequestsJS,avgRequestsHTML,avgRequestsCSS,totalSilenceTime,avgSilenceTime,silenceCount,Label
65,1840056,1703396,5,8,11,6.5,184005.6,170339.6,0.5,0.8,1.1,283,40.42857143,7,1
43,706296,576602,7,7,12,4.3,70629.6,57660.2,0.7,0.7,1.2,244,40.66666667,6,1
46,1366737,1204125,8,7,10,4.6,136673.7,120412.5,0.8,0.7,1,250,41.66666667,6,1
54,1693397,1513341,12,7,10,5.4,169339.7,151334.1,1.2,0.7,1,254,42.33333333,6,1
55,1722030,1513341,13,7,10,5.5,172203,151334.1,1.3,0.7,1,264,44,6,1
60,1988828,1731044,15,7,11,6,198882.8,173104.4,1.5,0.7,1.1,250,41.66666667,6,1
58,1898689,1632985,14,7,12,5.8,189868.9,163298.5,1.4,0.7,1.2,244,40.66666667,6,1
55,1591435,1375026,11,8,12,5.5,159143.5,137502.6,1.1,0.8,1.2,286,40.85714286,7,1
47,1207066,985456,11,7,11,4.7,120706.6,98545.6,1.1,0.7,1.1,247,41.16666667,6,1
50,1237385,989848,13,7,11,5,123738.5,98984.8,1.3,0.7,1.1,259,43.16666667,6,1
54,985833,701531,16,7,12,5.4,98583.3,70153.1,1.6,0.7,1.2,260,43.33333333,6,1
56,999038,697139,18,7,13,5.6,99903.8,69713.9,1.8,0.7,1.3,250,41.66666667,6,1
57,1027696,691389,20,7,15,5.7,102769.6,69138.9,2,0.7,1.5,245,40.83333333,6,1
60,1042602,691389,21,7,17,6,104260.2,69138.9,2.1,0.7,1.7,238,39.66666667,6,1
63,1567305,1220696,19,8,19,6.3,156730.5,122069.6,1.9,0.8,1.9,295,42.14285714,7,1
40,1134414,913800,12,7,13,4,113441.4,91380,1.2,0.7,1.3,255,42.5,6,1
46,1187438,913800,15,8,15,4.6,118743.8,91380,1.5,0.8,1.5,291,41.57142857,7,1
44,948491,709126,13,7,14,4.4,94849.1,70912.6,1.3,0.7,1.4,242,40.33333333,6,1
49,1350850,1120642,10,7,13,4.9,135085,112064.2,1,0.7,1.3,239,39.83333333,6,1
44,807548,586943,12,7,9,4.4,80754.8,58694.3,1.2,0.7,0.9,244,40.66666667,6,1
50,1641722,1425128,11,7,9,5,164172.2,142512.8,1.1,0.7,0.9,251,41.83333333,6,1
63,2480100,2273497,10,7,5,6.3,248010,227349.7,1,0.7,0.5,258,43,6,1
63,2363261,2106854,13,7,7,6.3,236326.1,210685.4,1.3,0.7,0.7,256,42.66666667,6,1
57,1964391,1690946,13,8,10,5.7,196439.1,169094.6,1.3,0.8,1,290,41.42857143,7,1
54,1917545,1690946,10,7,11,5.4,191754.5,169094.6,1,0.7,1.1,249,41.5,6,1
54,1746389,1492622,11,7,13,5.4,174638.9,149262.2,1.1,0.7,1.3,247,41.16666667,6,1
38,876235,644253,12,7,14,3.8,87623.5,64425.3,1.2,0.7,1.4,250,41.66666667,6,1
35,850287,644253,10,7,13,3.5,85028.7,64425.3,1,0.7,1.3,255,42.5,6,1
42,906012,648645,14,7,15,4.2,90601.2,64864.5,1.4,0.7,1.5,256,42.66666667,6,1
44,918362,652853,15,7,15,4.4,91836.2,65285.3,1.5,0.7,1.5,257,42.83333333,6,1
50,445303,150585,20,8,14,5,44530.3,15058.5,2,0.8,1.4,298,42.57142857,7,1
47,427911,150585,17,7,15,4.7,42791.1,15058.5,1.7,0.7,1.5,242,40.33333333,6,1
65,1863498,1608942,20,8,14,6.5,186349.8,160894.2,2,0.8,1.4,285,40.71428571,7,1
51,1754549,1604550,15,7,7,5.1,175454.9,160455,1.5,0.7,0.7,247,41.16666667,6,1
49,1746764,1607312,14,7,6,4.9,174676.4,160731.2,1.4,0.7,0.6,248,41.33333333,6,1
42,1772234,1656938,10,7,8,4.2,177223.4,165693.8,1,0.7,0.8,238,39.66666667,6,1
48,1841629,1729414,13,8,7,4.8,184162.9,172941.4,1.3,0.8,0.7,268,38.28571429,7,1
30,396106,276059,11,7,5,3,39610.6,27605.9,1.1,0.7,0.5,226,37.66666667,6,1
36,475792,280451,13,8,7,3.6,47579.2,28045.1,1.3,0.8,0.7,273,39,7,1
39,494328,273481,15,8,9,3.9,49432.8,27348.1,1.5,0.8,0.9,277,39.57142857,7,1
47,405094,152324,19,8,10,4.7,40509.4,15232.4,1.9,0.8,1,275,39.28571429,7,1
44,404604,156453,18,7,9,4.4,40460.4,15645.3,1.8,0.7,0.9,242,40.33333333,6,1
48,423211,151451,20,8,12,4.8,42321.1,15145.1,2,0.8,1.2,270,38.57142857,7,1
54,614427,395897,20,8,12,5.4,61442.7,39589.7,2,0.8,1.2,254,36.28571429,7,1
24,294593,200407,3,7,3,2.4,29459.3,20040.7,0.3,0.7,0.3,240,40,6,1
27,764907,668982,2,6,4,2.7,76490.7,66898.2,0.2,0.6,0.4,257,51.4,5,1
27,791259,705324,2,6,4,2.7,79125.9,70532.4,0.2,0.6,0.4,252,50.4,5,1
44,1746146,1646533,4,8,5,4.4,174614.6,164653.3,0.4,0.8,0.5,278,39.71428571,7,1
49,1821350,1710409,5,9,7,4.9,182135,171040.9,0.5,0.9,0.7,299,37.375,8,1
46,1957426,1846413,5,9,7,4.6,195742.6,184641.3,0.5,0.9,0.7,291,36.375,8,1
43,1477601,1371739,8,9,6,4.3,147760.1,137173.9,0.8,0.9,0.6,262,32.75,8,1
47,1512820,1395106,10,10,6,4.7,151282,139510.6,1,1,0.6,261,29,9,1
31,554850,420937,10,8,4,3.1,55485,42093.7,1,0.8,0.4,241,34.42857143,7,1
31,646603,514435,11,8,2,3.1,64660.3,51443.5,1.1,0.8,0.2,246,35.14285714,7,1
32,430468,292666,11,8,3,3.2,43046.8,29266.6,1.1,0.8,0.3,275,39.28571429,7,1
28,709697,589646,7,7,3,2.8,70969.7,58964.6,0.7,0.7,0.3,242,40.33333333,6,1
24,897154,805019,4,6,2,2.4,89715.4,80501.9,0.4,0.6,0.2,237,47.4,5,1
29,1754749,1691200,2,7,2,2.9,175474.9,169120,0.2,0.7,0.2,262,43.66666667,6,1
28,1706676,1643997,0,6,3,2.8,170667.6,164399.7,0,0.6,0.3,199,39.8,5,1
32,1868715,1805669,0,8,2,3.2,186871.5,180566.9,0,0.8,0.2,289,41.28571429,7,1
34,1704500,1630814,2,9,2,3.4,170450,163081.4,0.2,0.9,0.2,286,35.75,8,1
33,1431381,1355732,3,9,2,3.3,143138.1,135573.2,0.3,0.9,0.2,259,32.375,8,1
27,546098,441136,4,8,2,2.7,54609.8,44113.6,0.4,0.8,0.2,246,35.14285714,7,1
31,1441011,1335335,5,10,2,3.1,144101.1,133533.5,0.5,1,0.2,286,31.77777778,9,1
28,1448598,1349268,5,8,2,2.8,144859.8,134926.8,0.5,0.8,0.2,276,39.42857143,7,1
27,1706000,1636674,4,7,1,2.7,170600,163667.4,0.4,0.7,0.1,266,44.33333333,6,1
35,2115553,2029771,4,7,2,3.5,211555.3,202977.1,0.4,0.7,0.2,271,45.16666667,6,1
40,2126838,2036054,6,8,3,4,212683.8,203605.4,0.6,0.8,0.3,285,40.71428571,7,1
37,1591193,1509269,5,6,2,3.7,159119.3,150926.9,0.5,0.6,0.2,212,42.4,5,1
38,1519905,1435481,5,7,3,3.8,151990.5,143548.1,0.5,0.7,0.3,242,40.33333333,6,1
38,1273141,1156255,6,7,4,3.8,127314.1,115625.5,0.6,0.7,0.4,225,37.5,6,1
30,1319241,1221803,6,7,3,3,131924.1,122180.3,0.6,0.7,0.3,251,41.83333333,6,1
